key,layers,time_seconds
p1,1,28.628594636917114
p1,2,52.47779440879822
p1,3,72.34532070159912
p1,4,102.03615117073059
p1,5,123.14403200149536
p1,6,149.50328516960144
p1,7,174.64588809013367
p1,8,194.65851140022278
p1,9,202.65217185020447
p1,10,249.8449990749359
p2,1,36.81046652793884
p2,2,68.3506166934967
p2,3,86.560546875
p2,4,114.2907555103302
p2,5,135.28135323524475
p2,6,137.63418579101562
p2,7,167.82675528526306
p2,8,197.4409680366516
p2,9,205.00472927093506
p2,10,225.1820831298828
p3,1,31.799108028411865
p3,2,57.01572251319885
p3,3,71.07486653327942
p3,4,96.66771054267883
p3,5,126.60314226150513
p3,6,188.235821723938
p3,7,247.96548175811768
p3,8,320.0492126941681
p3,9,198.6020324230194
p3,10,190.12287878990173
