key,layers,time_seconds
p1,1,30.071428537368774
p1,2,67.15635275840759
p1,3,144.61806321144104
p1,4,226.8174397945404
p1,5,302.90541791915894
p1,6,382.1956596374512
p1,7,471.9339518547058
p1,8,491.2174870967865
p1,9,597.23796916008
p1,10,668.6194152832031
p2,1,34.12552618980408
p2,2,97.59477949142456
p2,3,181.88869762420654
p2,4,232.63515639305115
p2,5,256.3853862285614
p2,6,376.7946403026581
p2,7,390.03166365623474
p2,8,432.50495743751526
p2,9,523.4391343593597
p2,10,553.5272991657257
p3,1,38.88427543640137
p3,2,94.93311071395874
p3,3,154.75387263298035
p3,4,200.3151993751526
p3,5,254.58526515960693
p3,6,360.3718087673187
p3,7,310.2560315132141
p3,8,425.1002037525177
p3,9,495.5077712535858
p3,10,507.53789806365967
