key,layers,time_seconds
p1,1,32.016759395599365
p1,2,67.36023879051208
p1,3,80.81275033950806
p1,4,107.45021891593933
p1,5,130.00305652618408
p1,6,182.25987696647644
p1,7,142.38144993782043
p1,8,186.02318358421326
p1,9,199.25623106956482
p1,10,187.43659710884094
p2,1,28.39049196243286
p2,2,55.914100646972656
p2,3,85.8237738609314
p2,4,114.10055184364319
p2,5,151.56652212142944
p2,6,191.07957863807678
p2,7,222.44712829589844
p2,8,265.13818526268005
p2,9,284.0580806732178
p2,10,266.56126403808594
p3,1,38.9698166847229
p3,2,60.21756887435913
p3,3,78.38121056556702
p3,4,105.8216643333435
p3,5,123.5101990699768
p3,6,160.5358521938324
p3,7,168.52498078346252
p3,8,243.3394181728363
p3,9,237.30174851417542
p3,10,256.38663506507874
